Tipo;Designacion;d;bf;tf;hw;tw=r1;r2;bf/2tf;hw/tw;Ag;Peso;Ix;Sx;rx;Qx;Zx;Iy;Sy;ry;Qy;1.5Sy;Zy;w1;d1;w4;t1;w3;J;Cw;X1;X2
W;40x264;1016;303;43.9;875.0;24.4;;3.5;35.9;500.6;392.9;807489.0;15912.0;40.1;9259.0;18517.0;20520.0;1354.0;6.4;1082.0;2030.0;2163.0;;;;;;2335.0;48604992.0;18754;73.8
W;40x235;1008;302;40.0;875.0;21.1;;3.8;41.5;444.5;349.7;724243.0;14322.0;40.4;8275.0;16551.0;18481.0;1222.0;6.5;967.0;1834.0;1934.0;;;;;;1719.0;43234275.0;16754;112
W;40X211;1000;300;35.9;875.0;19.1;;4.2;45.9;400.0;314.0;645159.0;12864.0;40.1;7415.0;14830.0;16233.0;1083.0;6.4;860.0;1625.0;1721.0;;;;;;1265.0;37595021.0;15168;166
W;40x183;990;300;31.0;875.0;16.5;;4.8;53.0;346.5;272.3;553588.0;11176.0;39.9;6399.0;12798.0;13985.0;932.0;6.4;734.0;1399.0;1468.0;;;;;;815.8;31955768.0;13100;288
W;40x167;980;300;26.0;875.0;16.5;;5.8;53.0;316.8;248.5;482828.0;9816.0;38.9;5670.0;11340.0;11779.0;785.0;6.1;623.0;1177.0;1245.0;;;;;;582.7;26665612.0;12066;431
W;40x149;970;300;21.1;875.0;16.0;;7.1;54.7;282.6;221.7;407074.0;8390.0;37.9;4892.0;9783.0;9532.0;636.0;5.8;510.0;954.0;1019.0;;;;;;399.6;21375455.0;11101;661
W;36x848;1078;461;115.0;799.0;64.0;;2.0;12.5;1606.0;1262.0;2805400.0;51947.0;41.7;31381.0;62762.0;189385.0;8210.0;10.9;6547.0;12315.0;13093.0;;;;;;52861.0;435028104.0;48953;1.49
W;36x798;1066;457;109.0;799.0;60.5;;2.1;13.2;1510.0;1188.0;2605609.0;48833.0;41.7;29251.0;58502.0;174817.0;7653.0;10.8;6088.0;11479.0;12176.0;;;;;;44537.0;397433082.0;46333;1.83
W;36x650;1028;446;89.9;799.0;50.0;;2.5;16.0;1226.0;967.3;2035372.0;39657.0;40.6;23270.0;46539.0;134443.0;6014.0;10.5;4752.0;9021.0;9504.0;;;;;;24974.0;292704095.0;38542;3.68
W;36x527;996;437;73.9;799.0;40.9;;3.0;19.5;993.5;784.3;1594166.0;31955.0;40.1;18599.0;37199.0;103642.0;4736.0;10.2;3720.0;7104.0;7440.0;;;;;;13736.0;219125267.0;31923;7.68
W;36x439;972;431;62.0;799.0;34.5;;3.5;23.1;825.8;653.3;1290317.0;26547.0;39.6;15240.0;30480.0;82830.0;3851.0;10.0;3007.0;5776.0;6014.0;;;;;;8117.0;171057347.0;26890;14.8
W;36x393;960;427;55.9;799.0;31.0;;3.8;25.8;741.9;584.8;1144636.0;23761.0;39.4;13601.0;27203.0;72840.0;3409.0;9.9;2663.0;5113.0;5326.0;;;;;;5952.0;148768870.0;24407;21.9
W;36x359;950;425;51.1;799.0;28.4;;4.2;28.1;677.4;534.3;1032254.0;21631.0;39.1;12372.0;24744.0;65348.0;3081.0;9.8;2393.0;4621.0;4785.0;;;;;;4537.0;132388182.0;22339;30.9
W;36x328;942;422;47.0;799.0;25.9;;4.5;30.8;621.9;488.1;936521.0;19828.0;38.9;11307.0;22614.0;59105.0;2802.0;9.8;2171.0;4203.0;4343.0;;;;;;3517.0;118424317.0;20546;42.9
W;36x300;933;423;42.7;799.0;24.0;;5.0;33.3;569.7;446.4;844950.0;18190.0;38.6;10324.0;20648.0;54110.0;2556.0;9.7;1975.0;3835.0;3949.0;;;;;;2672.0;106877275.0;18754;61.6
W;36x280;928;422;39.9;799.0;22.5;;5.3;35.5;531.6;416.7;786677.0;16879.0;38.4;9586.0;19173.0;49948.0;2360.0;9.7;1827.0;3540.0;3654.0;;;;;;2189.0;98284127.0;17651;78.5
W;36x260;921;420;36.6;799.0;21.3;;5.8;37.4;493.5;386.9;720080.0;15617.0;38.1;8849.0;17698.0;45369.0;2163.0;9.6;1671.0;3245.0;3343.0;;;;;;1727.0;88616836.0;16341;107
W;36x245;916;419;34.3;799.0;20.3;;6.1;39.3;465.2;364.6;670133.0;14666.0;38.1;8275.0;16551.0;42039.0;2016.0;9.5;1557.0;3023.0;3114.0;;;;;;1440.0;82171975.0;15375;135
W;36x230;912;418;32.0;799.0;19.3;;6.5;41.4;436.1;342.3;624347.0;13716.0;37.9;7727.0;15453.0;39126.0;1868.0;9.5;1442.0;2802.0;2884.0;;;;;;1190.0;75727114.0;14479;172
W;36x256;951;310;43.9;816.0;24.4;;3.5;33.5;486.5;381.0;699269.0;14666.0;37.9;8521.0;17043.0;21977.0;1417.0;6.7;1123.0;2126.0;2245.0;;;;;;2219.0;45114026.0;19581;60.4
W;36x232;943;308;39.9;816.0;22.1;;3.9;36.9;439.4;345.3;624347.0;13257.0;37.6;7669.0;15338.0;19480.0;1265.0;6.7;1000.0;1898.0;1999.0;;;;;;1657.0;39743308.0;17788;87.5
W;36x210;932;309;34.5;816.0;21.1;;4.5;38.7;398.7;312.5;549425.0;11782.0;37.1;6825.0;13650.0;17107.0;1106.0;6.6;877.0;1659.0;1753.0;;;;;;1165.0;34372591.0;15996;138
W;36x194;927;308;32.0;816.0;19.4;;4.8;42.0;367.7;288.7;503640.0;10881.0;37.1;6284.0;12569.0;15609.0;1014.0;6.5;801.0;1522.0;1601.0;;;;;;924.0;31150161.0;14755;186
W;36x182;923;307;30.0;816.0;18.4;;5.1;44.3;345.8;270.8;470342.0;10209.0;36.8;5883.0;11766.0;14443.0;944.0;6.5;743.0;1416.0;1486.0;;;;;;766.0;28733338.0;13927;238
W;36x170;919;306;27.9;816.0;17.3;;5.5;47.2;322.6;253.0;437043.0;9504.0;36.8;5473.0;10947.0;13319.0;872.0;6.4;687.0;1308.0;1373.0;;;;;;629.0;26450783.0;13100;305
W;36x150;911;304;23.9;816.0;15.9;;6.4;51.4;285.2;223.2;376273.0;8259.0;36.3;4760.0;9521.0;11238.0;739.0;6.3;581.0;1109.0;1162.0;;;;;;420.0;22073648.0;11583;509
W;36x135;903;304;20.1;816.0;15.2;;7.6;53.5;256.1;200.9;324661.0;7194.0;35.6;4171.0;8341.0;9365.0;618.0;6.1;489.0;927.0;978.0;;;;;;291.0;18287293.0;10480;799
